iter	Passed	Remaining
0	137	137063
1	140	70113
2	142	47362
3	144	36009
4	146	29185
5	148	24529
6	150	21282
7	152	18862
8	154	16965
9	155	15376
10	156	14075
11	157	12978
12	158	12045
13	159	11246
14	160	10553
15	161	9945
16	162	9419
17	163	8943
18	165	8519
19	166	8148
20	167	7789
21	167	7462
22	168	7167
23	169	6886
24	169	6628
25	170	6387
26	171	6165
27	171	5964
28	172	5774
29	173	5600
30	173	5435
31	174	5281
32	175	5136
33	175	4997
34	176	4868
35	177	4745
36	177	4628
37	178	4523
38	179	4429
39	180	4334
40	181	4250
41	182	4159
42	182	4071
43	183	3988
44	184	3908
45	184	3830
46	185	3757
47	186	3689
48	186	3625
49	187	3565
50	188	3503
51	188	3443
52	189	3386
53	190	3333
54	190	3279
55	191	3227
56	192	3177
57	192	3128
58	193	3087
59	194	3047
60	195	3007
61	195	2964
62	196	2923
63	197	2883
64	197	2844
65	198	2805
66	198	2768
67	199	2732
68	199	2697
69	200	2663
70	201	2632
71	201	2600
72	202	2568
73	202	2538
74	203	2508
75	203	2480
76	204	2451
77	205	2424
78	205	2396
79	206	2370
80	206	2344
81	207	2320
82	207	2293
83	208	2270
84	209	2251
85	210	2233
86	210	2211
87	211	2189
88	211	2169
89	212	2148
90	213	2127
91	213	2107
92	214	2088
93	214	2068
94	215	2051
95	215	2033
96	216	2015
97	217	1998
98	217	1980
99	218	1964
100	218	1949
101	219	1933
102	220	1917
103	220	1901
104	221	1886
105	221	1871
106	222	1857
107	223	1844
108	223	1830
109	224	1818
110	225	1805
111	225	1791
112	226	1779
113	227	1765
114	227	1752
115	228	1739
116	228	1726
117	229	1713
118	229	1702
119	230	1691
120	231	1679
121	231	1667
122	232	1656
123	232	1645
124	233	1634
125	234	1624
126	234	1612
127	235	1602
128	235	1591
129	236	1581
130	236	1571
131	237	1562
132	238	1554
133	239	1547
134	240	1538
135	240	1529
136	241	1520
137	241	1511
138	242	1502
139	243	1493
140	243	1484
141	243	1473
142	244	1465
143	245	1457
144	245	1449
145	246	1440
146	246	1432
147	247	1424
148	247	1416
149	248	1408
150	249	1400
151	249	1392
152	250	1385
153	250	1377
154	251	1370
155	251	1363
156	252	1357
157	253	1350
158	254	1344
159	254	1338
160	255	1330
161	255	1323
162	256	1317
163	257	1310
164	257	1303
165	258	1297
166	258	1290
167	259	1284
168	259	1278
169	260	1272
170	261	1266
171	261	1259
172	262	1253
173	262	1247
174	263	1241
175	264	1236
176	264	1230
177	265	1224
178	265	1218
179	266	1212
180	266	1207
181	267	1201
182	268	1196
183	268	1191
184	269	1186
185	269	1181
186	270	1176
187	271	1171
188	271	1166
189	272	1160
190	272	1155
191	273	1150
192	273	1145
193	274	1140
194	275	1136
195	275	1131
196	276	1127
197	277	1122
198	277	1118
199	278	1113
200	278	1108
201	279	1104
202	280	1099
203	280	1095
204	281	1090
205	281	1086
206	282	1082
207	283	1078
208	283	1074
209	284	1070
210	285	1066
211	285	1062
212	286	1058
213	286	1053
214	287	1049
215	288	1045
216	288	1041
217	289	1037
218	289	1033
219	290	1029
220	290	1025
221	291	1021
222	292	1017
223	292	1013
224	293	1009
225	293	1006
226	294	1002
227	294	998
228	295	994
229	296	991
230	296	987
231	297	983
232	297	980
233	298	976
234	299	973
235	299	969
236	300	967
237	301	963
238	301	960
239	302	957
240	302	953
241	303	950
242	303	946
243	304	943
244	304	939
245	305	936
246	306	933
247	306	929
248	307	926
249	307	923
250	308	920
251	308	916
252	309	913
253	310	910
254	310	907
255	311	904
256	312	903
257	313	900
258	313	897
259	314	895
260	315	892
261	315	889
262	316	887
263	317	884
264	317	881
265	318	878
266	318	875
267	319	872
268	319	869
269	320	866
270	321	863
271	321	860
272	322	857
273	322	854
274	323	852
275	323	849
276	324	846
277	324	843
278	325	841
279	326	838
280	326	835
281	327	833
282	327	830
283	328	828
284	329	826
285	329	823
286	330	821
287	331	818
288	331	816
289	332	813
290	332	810
291	333	808
292	333	805
293	334	803
294	335	800
295	335	798
296	336	795
297	336	793
298	337	790
299	337	788
300	338	785
301	339	783
302	339	781
303	340	778
304	340	776
305	341	773
306	341	771
307	342	769
308	343	767
309	343	765
310	344	763
311	345	761
312	345	758
313	346	756
314	346	754
315	347	752
316	347	749
317	348	747
318	349	745
319	349	743
320	350	740
321	350	738
322	351	736
323	351	734
324	352	732
325	353	729
326	353	727
327	354	725
328	354	723
329	355	721
330	355	719
331	356	716
332	356	714
333	357	712
334	358	710
335	358	709
336	359	707
337	360	705
338	360	703
339	361	701
340	362	699
341	362	697
342	363	696
343	363	694
344	364	692
345	365	690
346	365	688
347	366	686
348	366	684
349	367	682
350	367	680
351	368	678
352	368	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	666
358	372	665
359	373	663
360	374	662
361	375	661
362	375	659
363	376	657
364	377	656
365	377	654
366	378	652
367	379	650
368	379	649
369	380	647
370	381	646
371	381	644
372	382	642
373	383	641
374	383	639
375	384	637
376	384	635
377	385	634
378	385	632
379	386	630
380	387	629
381	387	627
382	388	626
383	389	624
384	390	623
385	390	621
386	391	620
387	392	618
388	392	616
389	393	614
390	393	613
391	394	611
392	394	609
393	395	608
394	395	606
395	396	604
396	397	603
397	397	601
398	398	599
399	398	598
400	399	596
401	399	594
402	400	593
403	401	591
404	401	590
405	402	588
406	402	586
407	403	585
408	404	583
409	404	582
410	405	581
411	406	579
412	406	578
413	407	576
414	408	575
415	408	573
416	409	572
417	410	570
418	410	569
419	411	567
420	411	566
421	412	564
422	412	563
423	413	561
424	413	560
425	414	558
426	415	556
427	415	555
428	416	554
429	416	552
430	417	551
431	418	549
432	418	548
433	419	547
434	420	545
435	420	544
436	421	543
437	422	541
438	422	540
439	423	538
440	423	537
441	424	535
442	424	534
443	425	532
444	426	531
445	426	529
446	427	528
447	427	527
448	428	525
449	428	524
450	429	522
451	430	521
452	430	519
453	431	518
454	431	517
455	432	515
456	432	514
457	433	513
458	434	512
459	435	511
460	436	509
461	436	508
462	437	507
463	438	506
464	438	505
465	439	503
466	440	502
467	440	500
468	441	499
469	441	498
470	442	496
471	442	495
472	443	494
473	444	492
474	444	491
475	445	490
476	445	488
477	446	487
478	446	486
479	447	484
480	448	483
481	448	482
482	449	481
483	450	480
484	451	479
485	451	477
486	452	476
487	453	475
488	453	474
489	454	472
490	454	471
491	455	470
492	455	468
493	456	467
494	457	466
495	457	465
496	458	463
497	458	462
498	459	461
499	460	460
500	460	459
501	461	457
502	462	456
503	462	455
504	463	454
505	464	453
506	465	452
507	466	451
508	466	450
509	467	449
510	468	448
511	468	446
512	469	445
513	470	444
514	470	443
515	471	442
516	472	440
517	472	439
518	473	438
519	474	437
520	474	436
521	475	435
522	476	434
523	476	433
524	477	431
525	478	430
526	478	429
527	479	428
528	481	428
529	482	427
530	483	426
531	483	425
532	484	424
533	485	423
534	485	422
535	486	421
536	486	419
537	487	418
538	488	417
539	488	416
540	489	415
541	490	414
542	490	413
543	491	411
544	492	410
545	492	409
546	493	408
547	494	407
548	494	406
549	496	406
550	496	404
551	497	403
552	498	402
553	498	401
554	499	400
555	499	399
556	500	398
557	500	396
558	501	395
559	502	394
560	502	393
561	503	392
562	504	391
563	504	390
564	505	389
565	505	387
566	506	386
567	507	385
568	507	384
569	508	383
570	509	382
571	510	382
572	511	381
573	512	380
574	513	379
575	513	378
576	514	377
577	514	375
578	515	374
579	516	373
580	516	372
581	517	371
582	518	370
583	518	369
584	519	368
585	519	367
586	520	366
587	521	365
588	521	364
589	522	363
590	522	361
591	523	360
592	524	359
593	525	358
594	526	358
595	528	358
596	529	357
597	529	356
598	530	355
599	531	354
600	531	352
601	532	351
602	533	350
603	533	350
604	534	348
605	535	347
606	535	346
607	536	345
608	537	344
609	537	343
610	538	342
611	539	341
612	540	341
613	541	340
614	542	339
615	542	338
616	543	337
617	544	336
618	544	335
619	545	334
620	545	333
621	546	332
622	547	331
623	547	330
624	548	329
625	549	328
626	549	327
627	550	325
628	551	324
629	551	323
630	552	322
631	552	321
632	553	320
633	554	320
634	555	319
635	556	318
636	556	317
637	557	316
638	558	315
639	558	314
640	559	313
641	559	312
642	560	311
643	561	310
644	561	309
645	562	308
646	563	307
647	563	306
648	564	305
649	564	304
650	565	303
651	565	302
652	566	300
653	566	299
654	567	298
655	568	297
656	568	296
657	569	296
658	570	295
659	571	294
660	571	293
661	572	292
662	573	291
663	573	290
664	574	289
665	574	288
666	575	287
667	576	286
668	576	285
669	577	284
670	577	283
671	578	282
672	579	281
673	579	280
674	580	279
675	580	278
676	581	277
677	581	276
678	582	275
679	583	274
680	583	273
681	584	272
682	585	271
683	586	270
684	586	269
685	587	268
686	588	267
687	588	266
688	589	265
689	589	264
690	590	263
691	590	262
692	591	262
693	592	261
694	592	260
695	593	259
696	594	258
697	594	257
698	595	256
699	595	255
700	596	254
701	597	253
702	597	252
703	598	251
704	598	250
705	599	249
706	600	248
707	601	247
708	601	246
709	602	245
710	602	245
711	603	244
712	603	243
713	604	242
714	605	241
715	605	240
716	606	239
717	607	238
718	607	237
719	608	236
720	609	235
721	609	234
722	610	233
723	610	232
724	611	231
725	611	230
726	612	229
727	612	229
728	613	228
729	614	227
730	615	226
731	616	225
732	616	224
733	617	223
734	618	222
735	618	221
736	619	220
737	619	219
738	620	219
739	620	218
740	621	217
741	622	216
742	622	215
743	623	214
744	624	213
745	624	212
746	625	211
747	626	210
748	626	209
749	627	209
750	627	208
751	628	207
752	629	206
753	629	205
754	630	204
755	631	203
756	631	202
757	632	201
758	633	201
759	633	200
760	634	199
761	634	198
762	635	197
763	636	196
764	636	195
765	637	194
766	638	193
767	638	192
768	639	192
769	639	191
770	640	190
771	641	189
772	641	188
773	642	187
774	642	186
775	643	185
776	644	184
777	645	184
778	645	183
779	646	182
780	647	181
781	647	180
782	648	179
783	648	178
784	649	177
785	649	176
786	650	176
787	651	175
788	651	174
789	652	173
790	652	172
791	653	171
792	654	170
793	654	169
794	655	169
795	655	168
796	656	167
797	657	166
798	657	165
799	658	164
800	658	163
801	659	162
802	660	162
803	661	161
804	661	160
805	662	159
806	662	158
807	663	157
808	663	156
809	664	155
810	665	154
811	665	154
812	666	153
813	666	152
814	667	151
815	667	150
816	668	149
817	668	148
818	669	147
819	670	147
820	670	146
821	671	145
822	671	144
823	672	143
824	672	142
825	673	141
826	674	141
827	674	140
828	675	139
829	676	138
830	676	137
831	677	136
832	678	135
833	678	135
834	679	134
835	679	133
836	680	132
837	680	131
838	681	130
839	682	129
840	682	129
841	683	128
842	683	127
843	684	126
844	684	125
845	685	124
846	686	123
847	686	123
848	687	122
849	687	121
850	688	120
851	689	119
852	689	118
853	690	118
854	690	117
855	691	116
856	692	115
857	692	114
858	693	113
859	693	112
860	694	112
861	694	111
862	695	110
863	696	109
864	696	108
865	697	107
866	697	107
867	698	106
868	698	105
869	699	104
870	700	103
871	700	102
872	701	102
873	701	101
874	702	100
875	702	99
876	703	98
877	704	97
878	704	97
879	705	96
880	706	95
881	706	94
882	707	93
883	708	92
884	708	92
885	709	91
886	709	90
887	710	89
888	710	88
889	711	87
890	712	87
891	712	86
892	713	85
893	713	84
894	714	83
895	714	82
896	715	82
897	716	81
898	716	80
899	717	79
900	717	78
901	718	78
902	719	77
903	719	76
904	720	75
905	721	74
906	721	74
907	722	73
908	722	72
909	723	71
910	723	70
911	724	69
912	725	69
913	725	68
914	726	67
915	726	66
916	727	65
917	727	65
918	728	64
919	729	63
920	729	62
921	730	61
922	730	60
923	731	60
924	731	59
925	732	58
926	732	57
927	733	56
928	734	56
929	735	55
930	735	54
931	736	53
932	737	52
933	737	52
934	738	51
935	738	50
936	739	49
937	739	48
938	740	48
939	740	47
940	741	46
941	742	45
942	742	44
943	743	44
944	743	43
945	744	42
946	744	41
947	745	40
948	745	40
949	746	39
950	747	38
951	747	37
952	748	36
953	749	36
954	750	35
955	751	34
956	751	33
957	752	32
958	753	32
959	753	31
960	754	30
961	754	29
962	755	29
963	755	28
964	756	27
965	756	26
966	757	25
967	758	25
968	758	24
969	759	23
970	760	22
971	760	21
972	761	21
973	761	20
974	762	19
975	763	18
976	763	17
977	764	17
978	765	16
979	765	15
980	766	14
981	767	14
982	767	13
983	768	12
984	768	11
985	769	10
986	769	10
987	770	9
988	770	8
989	771	7
990	772	7
991	772	6
992	773	5
993	773	4
994	774	3
995	775	3
996	775	2
997	776	1
998	776	0
999	777	0
